id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Nights,Electric Pulse,electronic,happy,0.87,128,0.79,0.85,0.12
12,Autumn Thoughts,Whisper Folk,indie,sad,0.48,92,0.52,0.44,0.78
13,Digital Rush,Synth Wave,electronic,energetic,0.94,145,0.63,0.78,0.08
14,Mountain Echo,Acoustic Souls,folk,peaceful,0.32,105,0.71,0.39,0.88
15,Sunset Parade,Dream Pop,indie pop,happy,0.81,122,0.80,0.77,0.42
16,Deep Space,Ambient Zone,ambient,chill,0.25,58,0.64,0.31,0.87
17,Urban Beats,HipHop Kings,hip-hop,intense,0.89,104,0.61,0.72,0.18
18,Smooth Velvet,Soul Voices,soul,relaxed,0.52,98,0.75,0.56,0.68
19,Festival Lights,Pop Stars,pop,happy,0.93,142,0.86,0.87,0.11
20,Evening Jazz,Jazz Nights,jazz,relaxed,0.44,88,0.73,0.54,0.82
21,Midnight Blues,Blue Souls,blues,melancholic,0.56,96,0.48,0.52,0.84
22,Country Roads,Rural Hearts,country,peaceful,0.46,100,0.68,0.48,0.91
23,Metal Storm,Heavy Thunder,metal,intense,0.97,168,0.32,0.64,0.06
24,Reggae Vibes,Island Kings,reggae,happy,0.72,94,0.79,0.67,0.76
25,Ocean Waves,Classical Minds,classical,peaceful,0.20,50,0.72,0.15,0.95
26,Funk Groove,Rhythm Masters,funk,energetic,0.84,120,0.77,0.81,0.24
27,Indie Sunset,Lo-Fi Dreams,indie,introspective,0.35,76,0.45,0.36,0.82
28,Techno Pulse,Electronic Force,techno,energetic,0.92,138,0.58,0.89,0.05
29,Ballad Heart,Singer Soul,ballad,sad,0.38,70,0.41,0.42,0.87
30,R&B Smooth,Soul Groove,r&b,romantic,0.68,108,0.76,0.64,0.58
31,Punk Energy,Chaos Crew,punk,angry,0.86,146,0.35,0.72,0.12
32,Gospel Light,Spirit Voices,gospel,joyful,0.71,105,0.87,0.69,0.73
33,Disco Magic,Night Dancers,disco,happy,0.88,130,0.84,0.86,0.15
34,Ambient Dream,Soundscape,ambient,dreamy,0.30,62,0.67,0.28,0.89
35,Latin Fiesta,Tropical Beats,latin,happy,0.79,116,0.81,0.74,0.62
36,Trap House Dreams,Shadow Kings,hip-hop,empowered,0.88,140,0.42,0.82,0.08
37,Late Night R&B,Velvet Jones,r&b,romantic,0.65,102,0.78,0.68,0.55
38,Soul Fire,Burning Groove,soul,hopeful,0.74,112,0.82,0.72,0.62
39,Deep Funk,Bass Republic,funk,energetic,0.88,118,0.75,0.86,0.20
40,Old School Flow,King Syllable,hip-hop,nostalgic,0.72,98,0.56,0.76,0.22
41,Neo Soul Drift,Jade Horizon,r&b,introspective,0.58,95,0.68,0.60,0.48
42,Soulful Morning,River Song,soul,peaceful,0.48,85,0.79,0.52,0.74
43,Funk Factory,The Groove Machine,funk,happy,0.86,126,0.81,0.84,0.18
44,Delta Blues,River Jackson,blues,sad,0.52,88,0.38,0.45,0.88
45,Whiskey & Rain,Lonesome Pine,country,melancholic,0.44,92,0.52,0.46,0.84
46,Late Night Jazz,The Quartet,jazz,moody,0.46,82,0.58,0.50,0.86
47,Symphony Rising,Orchestra Moderna,classical,intense,0.62,128,0.55,0.22,0.92
48,Country Sunrise,Prairie Wind,country,hopeful,0.55,96,0.74,0.52,0.90
49,Blues at Midnight,Tom Harper,blues,melancholic,0.48,72,0.32,0.38,0.92
50,Smooth Jazz Flow,Satin Brass,jazz,relaxed,0.40,90,0.76,0.56,0.88
51,String Quartet,Chamber Collective,classical,peaceful,0.22,68,0.70,0.18,0.96
52,Gospel Sunrise,Spirit Ensemble,gospel,hopeful,0.76,108,0.88,0.70,0.78
53,Grunge Storm,Broken Signal,rock,angry,0.88,142,0.30,0.60,0.15
54,Power Ballad,Steel Hearts,rock,nostalgic,0.76,124,0.62,0.58,0.32
55,Thrash Wave,Iron Fist,metal,intense,0.96,180,0.28,0.68,0.05
56,Punk Anthem,The Rebels,punk,empowered,0.89,158,0.45,0.74,0.10
57,Acoustic Rock,Canyon Echo,rock,introspective,0.62,108,0.58,0.52,0.72
58,Metal Ballad,Dark Heaven,metal,melancholic,0.72,112,0.42,0.48,0.28
59,House Party,Club Architects,electronic,euphoric,0.91,126,0.75,0.88,0.06
60,Trance State,Pulse Infinity,electronic,euphoric,0.89,138,0.68,0.82,0.08
61,Chillwave Drift,Coastal Dreams,synthwave,nostalgic,0.45,98,0.62,0.58,0.38
62,House Groove,Deep Frequency,electronic,energetic,0.87,124,0.72,0.86,0.10
63,Ambient Tension,Static Field,ambient,anxious,0.38,88,0.28,0.32,0.82
64,Dark Techno,Underground Pulse,techno,intense,0.94,150,0.35,0.84,0.06
65,Lofi Nostalgia,Cafe Sounds,lofi,nostalgic,0.32,75,0.54,0.48,0.88
66,Synthwave Euphoria,Neon Surge,synthwave,euphoric,0.86,134,0.72,0.80,0.12
67,Lagos Nights,Afro Collective,afrobeats,happy,0.86,112,0.82,0.80,0.42
68,Ipanema Breeze,Bossa Modern,bossa nova,relaxed,0.38,125,0.74,0.52,0.85
69,Seoul Sunrise,K-Wave,k-pop,happy,0.87,132,0.84,0.88,0.15
70,Flamenco Passion,Andalusia,flamenco,intense,0.78,145,0.62,0.68,0.82
71,Celtic Dawn,Highland Strings,celtic,hopeful,0.54,118,0.72,0.48,0.90
72,Afrobeat Sunrise,The Tropics,afrobeats,energetic,0.84,108,0.78,0.78,0.38
73,Shoegaze Dream,Velvet Static,indie,dreamy,0.52,95,0.55,0.48,0.62
